idx,vid,appear,total,percentage,simple,weighted_simple,pagerank,elo,entropy,title_ja,title_en,title_zh,alias,search,c_votecount,c_rating,c_average,rank
3134,v14910,3686,2.9674,0.3376,0.6842,1.9526,11625.5505,1903.5037,0.2574,シュヴァルツェスマーケン,,,,シュヴァルツェスマーケン   ,229,8.4200,8.4200,58
2151,v10028,4047,6.5347,0.5406,0.8836,2.9688,13943.1106,1959.0127,0.4030,いろとりどりのヒカリ,The Colorful Light -The Eternal Chapter In World's End Tale-,五彩斑斓的曙光,Bluer than Indigo,いろとりどりのヒカリ The Colorful Light -The Eternal Chapter In World's End Tale- 五彩斑斓的曙光 Bluer than Indigo,470,8.4100,8.4100,59
6415,v31805,454,2.4295,0.4320,0.5925,1.4052,39013.0026,2577.1746,0.1666,,Misericorde,,, Misericorde  ,73,8.3800,8.4300,60
6710,v36687,1921,2.5107,0.4173,0.7246,1.7854,25391.7629,2315.9287,0.2253,D.C.5 ～ダ・カーポ5～,,,,D.C.5 ～ダ・カーポ5～   ,82,8.3800,8.4200,61
5848,v27685,4034,2.3944,0.3522,0.6884,1.8555,11360.0009,1582.2152,0.2480,巨乳ファンタジー4 -修道士アストル-,,,,巨乳ファンタジー4 -修道士アストル-   ,113,8.3800,8.3800,62
6776,v38511,4833,5.3755,0.4833,0.8241,2.6919,11054.6535,2217.1782,0.3787,もっと！孕ませ！炎のおっぱい異世界おっぱいメイド学園！,,,,もっと！孕ませ！炎のおっぱい異世界おっぱいメイド学園！   ,314,8.3800,8.3800,63
830,v1842,2001,2.5552,0.3398,0.6427,1.7215,16529.1054,2016.7109,0.2488,紅殻町博物誌,,红壳町博物志,Mai-HiME - The Genealogical Tree of Fate\nMai-HIME - The Genealogical Tree of Destiny - Asura,紅殻町博物誌  红壳町博物志 Mai-HiME - The Genealogical Tree of Fate Mai-HIME - The Genealogical Tree of Destiny - Asura,78,8.3700,8.4200,64
446,v835,1983,2.6465,0.4083,0.7181,1.8213,20649.2138,2207.0631,0.2765,霞外籠逗留記,,,CC\nC+C\nC†C\nクロスチャンネル\nクロチャ,霞外籠逗留記   CC C+C C†C クロスチャンネル クロチャ,79,8.3700,8.4100,65
4551,v20591,4026,2.0956,0.2898,0.6128,1.6532,9359.1148,1695.4922,0.2236,真・恋姫†夢想-革命- 孫呉の血脈,,寒蟬鳴泣之時,When the Cicadas Cry\n寒蟬鳴泣之時\n暮蟬悲鳴時,真・恋姫†夢想-革命- 孫呉の血脈  寒蟬鳴泣之時 When the Cicadas Cry 寒蟬鳴泣之時 暮蟬悲鳴時,135,8.3700,8.3700,66
1459,v5154,6939,38.1147,0.5991,0.9288,5.8562,7516.3859,1591.4962,0.5445,グリザイアの果実 -LE FRUIT DE LA GRISAIA-,The Fruit of Grisaia,灰色的果实 -LE FRUIT DE LA GRISAIA-,When They Cry 2\nHigu2\n暮蟬悲鳴時解\n寒蟬鳴泣之時解,グリザイアの果実 -LE FRUIT DE LA GRISAIA- The Fruit of Grisaia 灰色的果实 -LE FRUIT DE LA GRISAIA- When They Cry 2 Higu2 暮蟬悲鳴時解 寒蟬鳴泣之時解,12073,8.3600,8.3600,67
5668,v26391,1716,4.7552,0.4043,0.6183,1.9817,14283.1499,1608.6484,0.2369,,Our Life: Beginnings & Always,,Higurashi Rei\nWhen They Cry 2+, Our Life: Beginnings & Always  Higurashi Rei When They Cry 2+,535,8.3600,8.3600,68
591,v1143,6822,32.5427,0.6082,0.9384,5.6238,8621.9320,1794.1183,0.5448,真剣で私に恋しなさい！,Majikoi! Love Me Seriously!!,认真和我谈恋爱！！,,真剣で私に恋しなさい！ Majikoi! Love Me Seriously!! 认真和我谈恋爱！！ ,8679,8.3500,8.3500,69
651,v1299,4428,9.8710,0.4923,0.7850,3.0304,9041.7437,2055.8671,0.3573,428 〜封鎖された渋谷で〜,428: Shibuya Scramble,428 ～被封锁的涩谷～,Yuki Sakura,428 〜封鎖された渋谷で〜 428: Shibuya Scramble 428 ～被封锁的涩谷～ Yuki Sakura,1453,8.3500,8.3500,70
2976,v14018,5973,15.8391,0.4943,0.8651,3.8696,7070.9029,2011.1318,0.4178,CHAOS;CHILD,,混沌之子,,CHAOS;CHILD  混沌之子 ,4321,8.3500,8.3500,71
3803,v18152,4610,4.8082,0.3971,0.7315,2.2928,8618.9225,1654.2758,0.2871,FLOWERS -Le volume sur automne-,Flowers -Le volume sur automne-,,サマーデイズ,FLOWERS -Le volume sur automne- Flowers -Le volume sur automne-  サマーデイズ,676,8.3500,8.3500,72
312,v487,6628,19.4001,0.4825,0.8882,4.5696,6269.2242,1674.9438,0.4409,戦国ランス,Sengoku Rance,战国兰斯,Aselia the Eternal -The Spirit of Eternity Sword-\nAseria,戦国ランス Sengoku Rance 战国兰斯 Aselia the Eternal -The Spirit of Eternity Sword- Aseria,5453,8.3400,8.3400,73
421,v768,4320,6.6692,0.5538,0.9125,3.0120,12270.5112,2078.9357,0.4460,戦女神ZERO,,战女神ZERO,Aselia the Eternal Expansion\nAseria the Eternal Expansion\nEternal Aselia Expansion\nEternal Aseria Expansion,戦女神ZERO  战女神ZERO Aselia the Eternal Expansion Aseria the Eternal Expansion Eternal Aselia Expansion Eternal Aseria Expansion,536,8.3400,8.3400,74
3218,v15395,4708,6.2744,0.4812,0.8029,2.5985,10701.7803,1774.8218,0.3288,FLOWERS -Le volume sur été-,Flowers -Le volume sur ete-,,トゥルーティアーズ\nTT\nT²,FLOWERS -Le volume sur été- Flowers -Le volume sur ete-  トゥルーティアーズ TT T²,942,8.3400,8.3400,75
3681,v17642,5395,7.8404,0.4203,0.7655,2.8148,6973.9328,2104.6527,0.3532,ランス03 リーザス陥落,Rance 03 - The Fall of Leazas,兰斯 3,hani hani\nhanihani\nはにはに\nThe Moon in the East; The Sun in the West -Operation Sanctuary-,ランス03 リーザス陥落 Rance 03 - The Fall of Leazas 兰斯 3 hani hani hanihani はにはに The Moon in the East; The Sun in the West -Operation Sanctuary-,1025,8.3400,8.3400,76
6583,v33504,944,3.1631,0.4138,0.7648,2.0464,31083.9033,2904.8594,0.3124,ガレリアの地下迷宮と魔女ノ旅団,Labyrinth of Galleria: The Moon Society,,karutetto\nカルテット！,ガレリアの地下迷宮と魔女ノ旅団 Labyrinth of Galleria: The Moon Society  karutetto カルテット！,72,8.3300,8.3900,77
7025,v50081,1250,4.6088,0.6219,0.8496,2.2771,32998.7761,2867.5084,0.3630,たねつみの歌,Seedsow Lullaby,播种之谣,エグゼ\nE x E\nE × E\nEmpty Embryo\nEmpty x Embryo,たねつみの歌 Seedsow Lullaby 播种之谣 エグゼ E x E E × E Empty Embryo Empty x Embryo,93,8.3300,8.3400,78
682,v1358,2362,1.6617,0.2208,0.4619,1.2481,10096.1039,2041.9953,0.1660,サクラ大戦２～君、死にたもうことなかれ～,,樱花大战II 望君多珍重,"Sharin Fandisk\nSharin FD\n車輪FD\n車輪悠久\nWheel Country, Youth of Eternity","サクラ大戦２～君、死にたもうことなかれ～  樱花大战II 望君多珍重 Sharin Fandisk Sharin FD 車輪FD 車輪悠久 Wheel Country, Youth of Eternity",119,8.3300,8.3300,79
1572,v5844,3314,5.6126,0.4790,0.8443,2.6459,14621.3437,2159.6026,0.3874,神咒神威神楽,,神咒神威神乐 曙光,,神咒神威神楽  神咒神威神乐 曙光 ,322,8.3300,8.3300,80
5551,v25635,4005,3.9531,0.5324,0.8532,2.3020,13868.3280,1764.1383,0.3557,まいてつ Last Run!!,,爱上火车-Last Run!!-,こん僕\nこんぼく\nコンボク\nkonboku\nconboku\nKonnako ga Itara Boku wa Mou!!\nKonna Musume ga Itara Boku wa Mou……!!,まいてつ Last Run!!  爱上火车-Last Run!!- こん僕 こんぼく コンボク konboku conboku Konnako ga Itara Boku wa Mou!! Konna Musume ga Itara Boku wa Mou……!!,244,8.3300,8.3300,81
6299,v30919,890,2.1416,0.3901,0.6472,1.5428,26882.4207,1807.2901,0.2424,,Superhuman,,fa\nフォアテリ\nフォーチュンアテリアル, Superhuman  fa フォアテリ フォーチュンアテリアル,68,8.3200,8.3900,82
1861,v7721,5742,13.7384,0.5781,0.9131,3.6392,11499.6473,2334.4276,0.4580,うたわれるもの 偽りの仮面,Utawarerumono: Mask of Deception,传颂之物 虚伪的假面,"ever forever\neternal feather\nemotional flutter\ntwo, only two\ntwo stories\nふたつの物語\nthe fairy tale is not just one, but are only two.\nエフ ア フェアリー テイル オブ ザ トゥー","うたわれるもの 偽りの仮面 Utawarerumono: Mask of Deception 传颂之物 虚伪的假面 ever forever eternal feather emotional flutter two, only two two stories ふたつの物語 the fairy tale is not just one, but are only two. エフ ア フェアリー テイル オブ ザ トゥー",2769,8.3200,8.3200,83
2825,v13083,5603,7.1810,0.4923,0.8760,3.1811,10032.3011,1889.0220,0.4264,巨乳ファンタジー外伝2,Funbag Fantasy: Sideboob Story 2,,アンダーバーサマー\nUnderbar Summer,巨乳ファンタジー外伝2 Funbag Fantasy: Sideboob Story 2  アンダーバーサマー Underbar Summer,583,8.3200,8.3200,84
3934,v18649,4725,2.1670,0.2464,0.5689,1.6828,7241.3549,1652.9224,0.2124,真・恋姫†夢想-革命- 蒼天の覇王,,,TH2AD\nトゥハート2 アナザーデイズ,真・恋姫†夢想-革命- 蒼天の覇王   TH2AD トゥハート2 アナザーデイズ,161,8.3200,8.3200,85
5274,v23741,5431,8.2372,0.4446,0.8428,3.2413,8280.0736,1773.3039,0.3830,抜きゲーみたいな島に住んでる貧乳はどうすりゃいいですか？ 2,NUKITASHI 2,,,抜きゲーみたいな島に住んでる貧乳はどうすりゃいいですか？ 2 NUKITASHI 2  ,928,8.3200,8.3200,86
5193,v23077,1736,3.1463,0.4531,0.7465,1.9563,24195.8249,1986.9405,0.2748,最悪なる災厄人間に捧ぐ,,,MLA\nMuvluv Alternative,最悪なる災厄人間に捧ぐ   MLA Muvluv Alternative,96,8.3100,8.3200,87
