vid,appear
v1645,15
v1646,1517
v1647,25
v1648,4491
v1649,76
v1651,1144
v1652,742
v1653,14
v1654,28
v1655,137
v1656,364
v1657,1219
v1658,56
v1659,325
v1660,5323
v1661,175
v1662,153
v1663,215
v1664,1576
v1665,496
v1666,106
v1667,1356
v1669,552
v1670,7
v1671,2170
v1672,254
v1674,129
v1675,1306
v1676,308
v1677,89
v1678,29
v1679,611
v1680,3
v1681,98
v1682,19
v1683,7
v1684,89
v1686,26
v1687,38
v1688,172
v1689,179
v1690,200
v1691,281
v1692,119
v1693,55
v1694,35
v1695,407
v1696,11
v1697,1917
v1698,1655
v1699,733
v1700,615
v1701,754
v1702,106
v1703,965
v1704,1707
v1705,74
v1706,8
v1707,164
v1708,2464
v1709,771
v1710,200
v1711,125
v1712,593
v1713,181
v1714,1197
v1715,2928
v1716,587
v1717,790
v1719,3370
v1721,479
v1722,8
v1723,6
v1726,2856
v1727,92
v1728,701
v1729,1377
v1730,1156
v1731,219
v1732,946
v1733,383
v1734,18
v1735,22
v1739,901
v1740,3599
v1741,34
v1742,1377
v1743,1139
v1744,1022
v1746,358
v1747,1438
v1748,381
v1749,705
v1750,664
v1751,112
v1752,1209
v1753,8
v1755,2779
v1756,1792
v1757,79
v1758,1767
v1759,646
v1760,281
v1761,189
v1762,4
v1765,697
v1766,12
v1767,444
v1768,56
v1777,29
v1778,3604
v1779,1341
v1780,84
v1781,373
v1782,417
v1783,1439
v1784,5
v1785,27
v1786,1
v1788,83
v1790,12
v1791,130
v1792,91
v1793,2486
v1794,36
v1796,1
v1797,2891
v1798,352
v1799,279
v1800,1867
v1801,33
v1802,219
v1803,725
v1804,630
v1805,132
v1806,55
v1807,1171
v1808,1458
v1809,55
v1810,482
v1811,1283
v1813,429
v1814,872
v1818,246
v1819,18
v1823,66
v1826,385
v1827,49
v1828,73
v1829,3520
v1830,28
v1831,152
v1833,10
v1834,3
v1836,507
v1837,325
v1838,2180
v1839,130
v1841,1368
v1842,1105
v1843,291
v1844,80
v1845,34
v1846,373
v1847,48
v1848,255
v1849,305
v1850,1465
v1851,2100
v1852,1242
