vid,title_ja,title_zh,c_votecount,c_rating,cnt,char_names
11069,らぶおぶ恋愛皇帝 of LOVE！,,124,7.19,3,一之瀬ルキナ;鳳絵莉夏;楠木千歳
10957,ハピメア,幸福噩梦,1725,7.4,3,蓮乃咲;内藤舞亜;鳥海有子
15077,あの晴れわたる空より高く,,699,7.66,3,暁有佐;導木ほのか;伊吹那津奈
13628,はるかかなた,遥远的彼方,80,6.84,3,水城はるか;泉雫;白羽心音
2226,スズノネセブン！－Sweet Lovers’Concerto－,,37,7.11,3,鷹取柚子里;三峰美奈都;志麻莉里
14536,ハーレム天国だと思ったらヤンデレ地獄だった。,,34,7.17,3,有末陽佳;尊海神無;宮主佐優理
4263,胸キュン！はぁとde恋シ・テ・ル～お兄ちゃんもっと大好き～,,5,6.34,3,吉澤あずき;吉澤はるか;吉澤いづみ
10109,あの日見た花の名前を僕達はまだ知らない。,,16,7.33,3,本間芽衣子;安城鳴子;鶴見知利子
9879,辻堂さんの純愛ロード,,1946,7.69,3,辻堂愛;片瀬恋奈;腰越マキ
9124,初恋１／１,,1843,7.18,3,藤川瑠奈;鴇崎摩耶;森野雪乃
6611,神聖にして侵すべからず,,39,7.01,3,晴華瑠波;国友澪里;樫村操
8309,星空へ架かる橋AA,,153,7.23,3,日向伊吹;神本円佳;七森星羅
12559,Magical Marriage Lunatics!!,,1018,6.85,3,ルーチェ・ヤミ・アスタリテ;天樹カリン;白波瀬悠奈
6917,秋風ぱーそなる ＋俺と僕と彼女の○○＋,,11,6.1,3,塚本七海;志摩聖歌;高橋香織
10396,恋色マリアージュ,,168,7.35,3,秋吉ねここ;ルリアスティス・T・御厨;鷹宮久遠
15393,恋する彼女の不器用な舞台,恋爱中的她的笨拙舞台,217,7.29,3,十川真優;七瀬千奈;千代田百花
5084,夢見ヶ丘,,9,6.44,3,神楽ゆめ;松本美弥加;高桑杏
9588,エロゲーしようよっ！,,36,5.94,3,三乃瀬由々花;三乃瀬まわる;三乃瀬めぐり
5336,星刻のかなた,,5,5.85,3,鳴海若菜;夏生妙子;七瀬香鈴
5209,With Ribbon,,85,7.23,3,穂坂陽奈;槇喜屋澄香;槇喜屋華澄
4851,キサラギGOLD★STAR,如月金★星,184,7.29,3,遠藤沙弥;羽音々翼;藤丸命
4624,未亡人沙苗「私が初めてでいいの……?」,,114,7.35,3,大迫耀子;犬養由季;尾形忍
897,ナツメグ,,29,7.35,3,東雲由佳子;乾実梨;小早川円
420,そして明日の世界より―,明日的世界,161,7.45,3,日向夕陽;日向朝陽;樹青葉
566,よつのは,四叶草,208,6.5,3,猫宮のの;柚姫衣織;天地祭
611,Renaissance,,7,6.34,3,源優子;雨宮麗依那;海江田羽純
775,Coming×Humming!!,,34,6.76,3,思川優月;高遠鈴香;南殿綾音
28871,響野さん家はエロゲ屋さん！,响野家的工口游戏店,148,7.25,3,響野紡;響野ゆかり;響野結衣
28533,神獄塔 メアリスケルターFinale,,31,7.4,3,アリス;つう;人魚姫
30616,ToHeart,,97,7.54,3,神岸あかり;長岡志保;宮内レミィ
22995,Hではじまるシェアハウス,,83,6.82,3,小松崎彩;東郷楓音;加賀見冬華
185,同級生,同级生,109,7.37,3,桜木舞;黒川さとみ;堀真純
194,Orange Pocket -オレンジポケット-,,19,6.6,3,綾瀬ナズナ;藤木咲乃;小見川円
202,Really? Really!,,440,6.83,3,芙蓉楓;麻弓＝タイム;八重桜
232,夜明け前より瑠璃色な,更胜黎明前的琉璃色,592,7.5,3,フィーナ・ファム・アーシュライト;鷹見沢菜月;ミア・クレメンティス
24717,金色ラブリッチェ-Golden Time-,金辉恋曲四重奏 -Golden Time-,1672,8.09,3,シルヴィア・ル・クルスクラウン・ソルティレージュ・シスア;僧間理亜;城ヶ崎絢華
87,FORTUNE ARTERIAL,,820,7.46,3,千堂瑛里華;悠木かなで;悠木陽菜
99,水夏~SUIKA~,水夏,564,6.85,3,名無しの少女;水瀬伊月;白河さやか
88,ef - a fairy tale of the two.,悠久之翼,2697,8.06,2,新藤景;雨宮優子
89,_summer,,37,7.48,2,波多野小奈美;海老塚信乃
90,ToHeart2 AnotherDays,,124,7.05,2,向坂環;柚原このみ
93,マブラヴ,Muv-Luv,10524,7.04,2,御剣冥夜;鑑純夏
119,DIVI-DEAD,,924,6.58,2,結城梓;斎乃佐知子
174,Canvas2～茜色のパレット～,,1052,6.86,2,桔梗霧;藤浪朋子
252,あまなつ -あるまなつのはじめてのお話-,,17,7.05,2,風見涼夏;ソフィア・由花莉・三島
255,アメサラサ～雨と、不思議な君に、恋をする～,,28,6.63,2,千代川霖;久美浜光羽
24626,恋ニ、甘味ヲソエテ２,,257,6.82,2,庭坂莉良;汐ノ宮璃貝
24853,姉ちゃんのススメ～お姉ちゃんのイタズラ性生活～,姐姐的推荐～姐姐调皮的性生活～,352,7.75,2,夏野藍衣;神谷青葉
25838,姫と穢欲のサクリファイス,,354,7.17,2,フィアナ・クレヴィング;テレサ・エルミニア
25870,それゆけ！ベルカゲ学園,,0,,2,天羽花;アリス・ウィステリア
